horizon,date,scenario,variable,value_dev,value_level,implied_e_i_q,p05_level,p95_level,data_source,mean_tpm_annual_pct,mean_infl_annual_pct
1,2026Q2,unconditional,x,-0.0041601136472941775,-0.41601136472941774,,-1.27778895705,0.44576622759199996,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,unconditional,pi,-0.00119285263085688,3.2991338474459786,,1.6076753636017127,5.011623183524461,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
1,2026Q2,unconditional,i,0.0006481556888642445,4.35960098380479,0.0,3.9862399850863595,4.733966491391528,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
2,2026Q3,unconditional,x,-0.0027293548048716986,-0.27293548048716987,,-1.21525245355,0.669381492582,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
2,2026Q3,unconditional,pi,-0.0007826031535582345,3.4673801862916243,,1.7165391523394025,5.240727389548017,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
2,2026Q3,unconditional,i,0.00042524002796346093,4.267565308905907,0.0,3.8214353346800234,4.715131536132144,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
3,2026Q4,unconditional,x,-0.001790666862123215,-0.1790666862123215,,-1.15400466289,0.795871290472,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
3,2026Q4,unconditional,pi,-0.0005134479147850228,3.5778743312268935,,1.8015197405708117,5.377375102569926,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
3,2026Q4,unconditional,i,0.0002789901940060569,4.2072159010277055,0.0,3.7333269017169934,4.682726713154373,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,unconditional,x,-0.0011748153099710066,-0.11748153099710067,,-1.10612948938,0.871166427387,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,unconditional,pi,-0.00033686135814615145,3.6504150580272565,,1.8628449835044414,5.461409824958152,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
4,2027Q1,unconditional,i,0.0001830390443823067,4.167636278113607,0.0,3.6823514326406626,4.65462266392529,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
5,2027Q2,unconditional,x,-0.000770769282515098,-0.0770769282515098,,-1.07156798545,0.917414128944,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
5,2027Q2,unconditional,pi,-0.0002210069830736019,3.6980280543254196,,1.905432703788934,5.514169897158938,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
5,2027Q2,unconditional,i,0.00012008770375513872,4.141675124378663,0.0,3.6516025539791164,4.6334834690404225,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
6,2027Q3,unconditional,x,-0.0005056839843902788,-0.05056839843902788,,-1.0475639991999999,0.946427202318,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
6,2027Q3,unconditional,pi,-0.00014499759436968057,3.729274755377321,,1.9343789764752373,5.5477706930231685,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
6,2027Q3,unconditional,i,7.878677820815785e-05,4.124645245419645,0.0,3.632548155595461,4.61849279318709,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
7,2027Q4,unconditional,x,-0.000331767622127337,-0.033176762212733704,,-1.0312484763699998,0.964894951944,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
7,2027Q4,unconditional,pi,-9.512958405478392e-05,3.7497788325617565,,1.9538014494905553,5.569380282042236,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
7,2027Q4,unconditional,i,5.169019163759167e-05,4.113473468550555,0.0,3.620521486542483,4.608182195738042,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,unconditional,x,-0.0002176651001212595,-0.02176651001212595,,-1.02030106617,0.976768046147,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,unconditional,pi,-6.24123303684858e-05,3.7632327369062635,,1.9667296078657026,5.583370751442884,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
8,2028Q1,unconditional,i,3.391274490843816e-05,4.106144411298818,0.0,3.612833960956996,4.60121429157494,Banco Central de Chile (BCCh),4.092164373832419,3.788901402630618
